Name,Platform,Year_of_Release,Genre,NA_players,EU_players,JP_players,Other_players,Critic_Score,User_Score,Rating
Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,2013-01-01,Adventure,0,0,0.01,0,nan,,
Call of Duty: Black Ops II,PS3,2012-01-01,Shooter,4.99,5.73,0.65,2.42,83,5.3,M
Call of Duty: Black Ops II,X360,2012-01-01,Shooter,8.25,4.24,0.07,1.12,83,4.8,M
New Super Mario Bros. 2,3DS,2012-01-01,Platform,3.66,3.14,2.47,0.63,78,7.2,E
Halo 4,X360,2012-01-01,Shooter,6.65,2.28,0.04,0.74,87,7,M
Animal Crossing: New Leaf,3DS,2012-01-01,Simulation,2.03,2.36,4.39,0.39,88,8.7,E
FIFA Soccer 13,PS3,2012-01-01,Action,1.06,5.01,0.13,1.97,88,6.6,E
Pokemon Black 2/Pokemon White 2,DS,2012-01-01,Role-Playing,2.79,1.72,3.14,0.41,nan,,
Just Dance 4,Wii,2012-01-01,Misc,4.05,2.16,0,0.55,74,7.3,E10+
Assassin's Creed III,PS3,2012-01-01,Action,2.64,2.52,0.16,1.12,85,6.9,M
Assassin's Creed III,X360,2012-01-01,Action,3.13,1.69,0.03,0.44,84,6.7,M
New Super Mario Bros. U,WiiU,2012-01-01,Platform,2.3,1.34,1.27,0.32,84,8.1,E
FIFA Soccer 13,X360,2012-01-01,Action,1.09,3.47,0.03,0.57,90,6.1,E
Diablo III,PC,2012-01-01,Role-Playing,2.44,2.16,0,0.54,88,4,M
Nintendo Land,WiiU,2012-01-01,Misc,2.52,1.11,0.46,0.33,77,7.9,E10+
Far Cry 3,PS3,2012-01-01,Shooter,0.88,1.7,0.1,0.67,90,8.5,M
Mario Party 9,Wii,2012-01-01,Misc,1.06,1.09,0.76,0.22,73,6.8,E
Resident Evil 6,PS3,2012-01-01,Shooter,0.88,0.94,0.88,0.4,74,5.4,M
Borderlands 2,X360,2012-01-01,Shooter,1.89,0.88,0.04,0.25,89,8.2,M
Mass Effect 3,X360,2012-01-01,Role-Playing,1.94,0.84,0.03,0.24,93,5.8,M
Far Cry 3,X360,2012-01-01,Shooter,1.38,1.32,0.02,0.28,91,8.6,M
NBA 2K13,X360,2012-01-01,Sports,2.6,0.2,0.01,0.19,88,7.2,E
Madden NFL 13,X360,2012-01-01,Sports,2.53,0.15,0,0.17,81,5.8,E
Need for Speed: Most Wanted,PS3,2012-01-01,Racing,0.71,1.46,0.06,0.58,nan,,
Madden NFL 13,PS3,2012-01-01,Sports,2.11,0.22,0,0.23,83,5.5,E
Skylanders Giants,Wii,2012-01-01,Action,1.48,0.83,0,0.21,78,7,E10+
NBA 2K13,PS3,2012-01-01,Sports,1.73,0.43,0.05,0.27,90,8,E
Guild Wars 2,PC,2012-01-01,Action,0.96,1.07,0,0.27,90,7.9,T
Paper Mario: Sticker Star,3DS,2012-01-01,Role-Playing,1.12,0.41,0.64,0.14,75,5.6,E
Borderlands 2,PS3,2012-01-01,Shooter,1.05,0.72,0.1,0.35,91,8.2,M
Hitman: Absolution,PS3,2012-01-01,Action,0.59,1.05,0.07,0.44,83,7.5,M
Fire Emblem: Awakening,3DS,2012-01-01,Role-Playing,0.9,0.45,0.54,0.13,92,9.1,T
Forza Horizon,X360,2012-01-01,Racing,0.82,0.93,0.04,0.18,85,8.4,T
Resident Evil 6,X360,2012-01-01,Shooter,1.12,0.6,0.07,0.16,67,5,M
Max Payne 3,PS3,2012-01-01,Shooter,0.59,0.89,0.06,0.3,87,7.8,M
World of Warcraft: Mists of Pandaria,PC,2012-01-01,Role-Playing,0.84,0.76,0,0.22,82,4.8,T
Kinect Star Wars,X360,2012-01-01,Action,1.05,0.52,0.03,0.14,55,3.5,T
Dragon's Dogma,PS3,2012-01-01,Role-Playing,0.41,0.44,0.72,0.17,78,8.3,M
Hitman: Absolution,X360,2012-01-01,Action,0.68,0.88,0.01,0.17,79,7.1,M
Dishonored,X360,2012-01-01,Action,1.06,0.5,0.01,0.14,88,7.9,M
LEGO Batman 2: DC Super Heroes,X360,2012-01-01,Action,0.9,0.61,0,0.15,79,7.2,E10+
Max Payne 3,X360,2012-01-01,Shooter,0.86,0.62,0.01,0.13,86,7.8,M
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012-01-01,Action,0.88,0.26,0.34,0.1,75,8.2,E10+
Need for Speed: Most Wanted,X360,2012-01-01,Racing,0.62,0.78,0.01,0.15,83,8.5,T
Pro Evolution Soccer 2013,PS3,2012-01-01,Sports,0.18,0.63,0.49,0.24,82,6.7,E
Dishonored,PS3,2012-01-01,Action,0.72,0.52,0.04,0.25,89,7.9,M
Call of Duty: Black Ops II,PC,2012-01-01,Shooter,0.64,0.69,0,0.19,74,4.2,M
Call of Duty Black Ops: Declassified,PSV,2012-01-01,Action,0.71,0.43,0.07,0.26,33,4.8,M
Tom Clancy's Ghost Recon: Future Soldier,X360,2012-01-01,Shooter,0.93,0.4,0.02,0.12,79,7.2,M
Mass Effect 3,PS3,2012-01-01,Role-Playing,0.63,0.56,0.03,0.2,93,5.5,M
Medal of Honor: Warfighter,PS3,2012-01-01,Action,0.48,0.62,0.06,0.26,55,6,M
LEGO Batman 2: DC Super Heroes,Wii,2012-01-01,Action,0.9,0.37,0,0.11,nan,7.1,E10+
Bravely Default: Flying Fairy,3DS,2012-01-01,Role-Playing,0.5,0.32,0.49,0.08,nan,,
WWE '13,PS3,2012-01-01,Action,0.51,0.6,0,0.25,76,8.1,T
Assassin's Creed III: Liberation,PSV,2012-01-01,Action,0.53,0.48,0.06,0.24,70,7.2,M
Skylanders Giants,X360,2012-01-01,Action,0.75,0.44,0,0.11,80,6.6,E10+
Kid Icarus: Uprising,3DS,2012-01-01,Action,0.48,0.35,0.36,0.07,83,8.7,E10+
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012-01-01,Role-Playing,0.44,0.29,0.47,0.07,59,6.3,E
WWE '13,X360,2012-01-01,Action,0.72,0.44,0,0.11,78,8,T
LittleBigPlanet PS Vita,PSV,2012-01-01,Platform,0.35,0.61,0.02,0.27,88,8.6,E
FIFA Street,PS3,2012-01-01,Sports,0.12,0.89,0,0.23,76,6.4,E
LEGO The Lord of the Rings,X360,2012-01-01,Action,0.64,0.49,0,0.11,80,8.5,E10+
LEGO Batman 2: DC Super Heroes,PS3,2012-01-01,Action,0.5,0.5,0,0.19,81,7.5,E10+
Mario & Sonic at the London 2012 Olympic Games,3DS,2012-01-01,Sports,0.18,0.64,0.27,0.09,nan,,
Just Dance 4,X360,2012-01-01,Misc,0.9,0.19,0,0.09,77,7.7,E10+
One Piece: Pirate Warriors,PS3,2012-01-01,Action,0.01,0.23,0.86,0.08,64,6.5,T
Resident Evil: Operation Raccoon City,PS3,2012-01-01,Action,0.48,0.24,0.36,0.1,52,4.9,M
Football Manager 2013,PC,2012-01-01,Sports,0,0.95,0,0.21,86,6.7,
Medal of Honor: Warfighter,X360,2012-01-01,Action,0.59,0.45,0.01,0.1,53,5.4,M
Fantasy Life,3DS,2012-01-01,Role-Playing,0.33,0.37,0.37,0.06,73,8.6,E10+
Persona 4: Golden,PSV,2012-01-01,Role-Playing,0.36,0.23,0.38,0.15,93,9.2,M
NCAA Football 13,X360,2012-01-01,Action,1.02,0,0,0.07,76,5.5,E
Skylanders Giants,PS3,2012-01-01,Action,0.36,0.49,0,0.2,77,6.3,E10+
LEGO The Lord of the Rings,PS3,2012-01-01,Action,0.37,0.49,0,0.19,82,8.3,E10+
Sleeping Dogs,PS3,2012-01-01,Action,0.31,0.49,0.05,0.19,83,7.7,M
F1 2012,PS3,2012-01-01,Racing,0.12,0.63,0.05,0.23,81,7.5,E
UFC Undisputed 3,PS3,2012-01-01,Action,0.55,0.32,0.03,0.13,86,7.4,T
Pokemon Conquest,DS,2012-01-01,Role-Playing,0.56,0.05,0.37,0.04,80,8.2,E
Need for Speed: Most Wanted,PSV,2012-01-01,Racing,0.33,0.45,0.01,0.22,nan,,
ZombiU,WiiU,2012-01-01,Action,0.52,0.36,0.05,0.08,77,7.7,M
UFC Undisputed 3,X360,2012-01-01,Action,0.72,0.2,0,0.08,85,7.6,T
Mass Effect 3,PC,2012-01-01,Role-Playing,0.4,0.44,0,0.12,89,5.5,M
Far Cry 3,PC,2012-01-01,Shooter,0.22,0.62,0,0.12,88,8.2,M
Dragon Quest X,Wii,2012-01-01,Role-Playing,0,0,0.96,0,nan,,
Farming Simulator 2013,PC,2012-01-01,Simulation,0,0.81,0,0.15,65,7.5,E
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012-01-01,Role-Playing,0,0,0.96,0,nan,,
Sniper Elite V2,PS3,2012-01-01,Shooter,0.38,0.38,0.06,0.14,70,6.9,M
Mario Tennis Open,3DS,2012-01-01,Sports,0.26,0.29,0.34,0.05,69,6.9,E
PlayStation All-Stars Battle Royale,PS3,2012-01-01,Action,0.5,0.27,0.04,0.15,74,7.3,T
Epic Mickey 2: The Power of Two,Wii,2012-01-01,Action,0.67,0.21,0,0.07,nan,,
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012-01-01,Shooter,0.41,0.32,0.09,0.12,79,6.9,M
Assassin's Creed III,PC,2012-01-01,Action,0.28,0.53,0,0.12,80,6.2,M
Borderlands 2,PC,2012-01-01,Shooter,0.42,0.41,0,0.1,89,8.2,M
MLB 12: The Show,PS3,2012-01-01,Sports,0.86,0,0,0.06,87,7.5,E
Harvest Moon 3D: A New Beginning,3DS,2012-01-01,Action,0.41,0.17,0.3,0.05,74,8.2,E
SSX,PS3,2012-01-01,Sports,0.35,0.41,0.02,0.14,81,6.8,E
The Witcher 2: Assassins of Kings,X360,2012-01-01,Action,0.48,0.32,0.02,0.08,88,8.3,M
LEGO The Lord of the Rings,Wii,2012-01-01,Action,0.48,0.34,0,0.07,nan,7.2,E10+
FIFA Street,X360,2012-01-01,Sports,0.17,0.62,0,0.1,77,6.7,E
The Jak and Daxter Collection,PS3,2012-01-01,Platform,0.6,0.18,0,0.11,nan,,
NCAA Football 13,PS3,2012-01-01,Action,0.82,0,0,0.07,79,4.1,E
Resident Evil: Revelations,3DS,2012-01-01,Action,0.3,0.22,0.3,0.05,82,8.5,M
Sleeping Dogs,X360,2012-01-01,Action,0.38,0.4,0.01,0.08,80,7.9,M
Kingdoms of Amalur: Reckoning,X360,2012-01-01,Role-Playing,0.55,0.24,0.01,0.07,80,7.7,M
LittleBigPlanet Karting,PS3,2012-01-01,Action,0.42,0.3,0.01,0.15,73,6.9,E
Kingdoms of Amalur: Reckoning,PS3,2012-01-01,Role-Playing,0.37,0.29,0.09,0.11,81,7.6,M
Tekken Tag Tournament 2,PS3,2012-01-01,Fighting,0.28,0.31,0.13,0.13,82,8.2,T
Darksiders II,PS3,2012-01-01,Action,0.35,0.35,0.01,0.14,84,7.1,M
 Tales of Xillia 2,PS3,2012-01-01,Role-Playing,0.2,0.12,0.45,0.07,71,7.9,T
Sniper Elite V2,X360,2012-01-01,Shooter,0.46,0.28,0.02,0.07,67,6.8,M
Street Fighter X Tekken,PS3,2012-01-01,Fighting,0.42,0.21,0.1,0.09,84,5.3,T
God of War Saga,PS3,2012-01-01,Action,0.73,0,0,0.1,nan,8.3,M
Devil May Cry HD Collection,PS3,2012-01-01,Action,0.42,0.19,0.11,0.09,74,8.8,M
Dance Central 3,X360,2012-01-01,Misc,0.57,0.18,0,0.06,86,8,T
Twisted Metal (2012),PS3,2012-01-01,Action,0.67,0.07,0,0.08,nan,,
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012-01-01,Puzzle,0.2,0.26,0.3,0.04,79,8.5,T
Darksiders II,X360,2012-01-01,Action,0.45,0.27,0,0.07,83,8,M
[Prototype 2],X360,2012-01-01,Action,0.48,0.24,0,0.07,74,7,M
Dragon's Dogma,X360,2012-01-01,Role-Playing,0.42,0.23,0.07,0.06,75,7.8,M
The Amazing Spider-Man (Console Version),PS3,2012-01-01,Action,0.31,0.35,0,0.13,nan,,
Resident Evil: Operation Raccoon City,X360,2012-01-01,Action,0.55,0.14,0.03,0.06,52,4.9,M
The Walking Dead: Season One,PS3,2012-01-01,Adventure,0.4,0.23,0.03,0.1,nan,,
LEGO Batman 2: DC Super Heroes,3DS,2012-01-01,Action,0.41,0.28,0,0.06,72,5.2,E10+
SoulCalibur V,PS3,2012-01-01,Fighting,0.35,0.23,0.07,0.09,81,6.7,T
[Prototype 2],PS3,2012-01-01,Action,0.36,0.28,0,0.1,79,6.8,M
The Amazing Spider-Man (Console Version),X360,2012-01-01,Action,0.43,0.24,0,0.06,nan,,
The Walking Dead: Season One,X360,2012-01-01,Adventure,0.55,0.13,0,0.05,nan,,
Style Savvy: Trendsetters,3DS,2012-01-01,Simulation,0.16,0.02,0.53,0.01,76,8,E
Persona 4: Arena,PS3,2012-01-01,Fighting,0.3,0.11,0.24,0.07,86,7.7,T
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012-01-01,Fighting,0.27,0.24,0.14,0.08,74,7.1,T
Ratchet & Clank Collection,PS3,2012-01-01,Action,0.47,0.13,0.02,0.1,nan,,
XCOM: Enemy Unknown,PC,2012-01-01,Strategy,0.27,0.36,0,0.08,89,8.2,M
SSX,X360,2012-01-01,Sports,0.38,0.26,0,0.06,82,6.4,E
Monster Hunter Tri,WiiU,2012-01-01,Role-Playing,0.24,0.19,0.22,0.04,nan,,
FIFA Soccer 13,Wii,2012-01-01,Action,0.18,0.44,0,0.07,nan,1.6,E
LEGO Batman 2: DC Super Heroes,DS,2012-01-01,Action,0.39,0.24,0,0.06,nan,8,E10+
Kirby's Dream Collection: Special Edition,Wii,2012-01-01,Action,0.33,0,0.33,0.02,82,8.8,E10+
Book of Spells,PS3,2012-01-01,Action,0.14,0.39,0,0.15,nan,,
London 2012: The Official Video Game of the Olympic Games,PS3,2012-01-01,Sports,0.06,0.48,0,0.14,nan,,
Puzzler Brain Games,Wii,2012-01-01,Puzzle,0,0,0.66,0,nan,,
NHL 13,X360,2012-01-01,Sports,0.51,0.1,0,0.05,83,6.6,E10+
Lollipop Chainsaw,PS3,2012-01-01,Action,0.27,0.2,0.11,0.08,67,7.1,M
Mortal Kombat,PSV,2012-01-01,Fighting,0.42,0.13,0,0.1,85,7.8,M
NHL 13,PS3,2012-01-01,Sports,0.33,0.21,0,0.09,84,6.8,E10+
Dead or Alive 5,PS3,2012-01-01,Fighting,0.23,0.14,0.2,0.07,74,7.7,M
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012-01-01,Misc,0,0,0.63,0,nan,,
Angry Birds Trilogy,3DS,2012-01-01,Action,0.38,0.2,0,0.05,62,4.6,E
XCOM: Enemy Unknown,X360,2012-01-01,Strategy,0.36,0.21,0,0.05,90,8.3,M
Toshochu: Run for Money,3DS,2012-01-01,Adventure,0,0,0.62,0,nan,,
Scribblenauts: Unlimited,3DS,2012-01-01,Action,0.56,0.01,0,0.05,73,7.4,E10+
Yakuza 5,PS3,2012-01-01,Action,0,0,0.59,0,83,8.5,M
SoulCalibur V,X360,2012-01-01,Fighting,0.39,0.13,0.02,0.04,77,6.2,T
Sonic & All-Stars Racing Transformed,X360,2012-01-01,Racing,0.2,0.33,0,0.05,nan,,
Kinect Rush: A Disney Pixar Adventure,X360,2012-01-01,Adventure,0.38,0.15,0,0.05,68,5.1,E
FIFA Soccer,PSV,2012-01-01,Sports,0.16,0.32,0.02,0.08,79,7.2,E
London 2012: The Official Video Game of the Olympic Games,X360,2012-01-01,Sports,0.07,0.44,0,0.07,nan,,
XCOM: Enemy Unknown,PS3,2012-01-01,Strategy,0.24,0.23,0,0.1,89,8.2,M
Doom 3 BFG Edition,PS3,2012-01-01,Shooter,0.26,0.21,0,0.1,67,6.4,M
Rune Factory 4,3DS,2012-01-01,Role-Playing,0.32,0,0.21,0.03,78,8.1,E10+
Gravity Rush,PSV,2012-01-01,Action,0.21,0.17,0.09,0.08,83,8.5,T
Spec Ops: The Line,PS3,2012-01-01,Shooter,0.19,0.23,0.04,0.08,77,8,M
Rayman Origins,PSV,2012-01-01,Platform,0.12,0.33,0,0.09,88,8.4,E10+
Tiger Woods PGA Tour 13,PS3,2012-01-01,Sports,0.24,0.21,0,0.08,75,5.7,E
Sonic & All-Stars Racing Transformed,WiiU,2012-01-01,Racing,0.19,0.26,0.02,0.04,nan,,
Epic Mickey 2: The Power of Two,X360,2012-01-01,Action,0.32,0.15,0,0.04,59,5.5,E
Dishonored,PC,2012-01-01,Action,0.26,0.19,0,0.06,nan,,
Tiger Woods PGA Tour 13,X360,2012-01-01,Sports,0.29,0.18,0,0.04,77,5.6,E
Unit 13,PSV,2012-01-01,Shooter,0.25,0.13,0.04,0.07,71,7.5,T
Theatrhythm: Final Fantasy,3DS,2012-01-01,Misc,0.22,0.07,0.18,0.02,78,7.8,E10+
Major League Baseball 2K12,X360,2012-01-01,Sports,0.47,0,0,0.03,68,6.4,E
Madden NFL 13,Wii,2012-01-01,Sports,0.47,0,0,0.03,nan,7.3,E
F1 2012,X360,2012-01-01,Racing,0.1,0.34,0,0.05,84,6.9,E
Epic Mickey: Power of Illusion,3DS,2012-01-01,Action,0.36,0.04,0.04,0.04,nan,,
Sonic & All-Stars Racing Transformed,PS3,2012-01-01,Racing,0.08,0.3,0.01,0.09,nan,,
Lollipop Chainsaw,X360,2012-01-01,Action,0.31,0.12,0.02,0.04,70,7,M
Doom 3 BFG Edition,X360,2012-01-01,Shooter,0.28,0.15,0,0.04,67,6.5,M
Street Fighter X Tekken,X360,2012-01-01,Fighting,0.31,0.1,0.03,0.04,83,4.4,T
FIFA Soccer 13,WiiU,2012-01-01,Action,0.17,0.27,0,0.04,69,6.2,E
Epic Mickey 2: The Power of Two,PS3,2012-01-01,Action,0.21,0.18,0,0.08,59,4.3,E
Inazuma Eleven Go 2: Chrono Stone,3DS,2012-01-01,Role-Playing,0,0.01,0.46,0,nan,,
Art Academy: Lessons for Everyone,3DS,2012-01-01,Action,0.2,0.04,0.21,0.02,81,7.6,E
Silent Hill: Downpour,PS3,2012-01-01,Action,0.21,0.15,0.04,0.06,64,6.9,M
PlayStation All-Stars Battle Royale,PSV,2012-01-01,Action,0.21,0.14,0.01,0.09,75,7.5,T
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012-01-01,Fighting,0.26,0.14,0.01,0.04,74,7.2,T
Transformers: Fall of Cybertron,X360,2012-01-01,Action,0.28,0.12,0,0.04,79,8.3,T
FIFA Soccer 13,PSV,2012-01-01,Action,0,0.28,0.05,0.11,57,4.1,E
Ninja Gaiden 3,PS3,2012-01-01,Action,0.19,0.09,0.11,0.05,58,5,M
Devil May Cry HD Collection,X360,2012-01-01,Action,0.28,0.11,0.01,0.03,77,8.4,M
Mass Effect Trilogy,PS3,2012-01-01,Action,0.37,0,0,0.06,nan,8.7,M
Just Dance 4,PS3,2012-01-01,Misc,0.26,0.11,0,0.06,77,7.1,E10+
Max Payne 3,PC,2012-01-01,Shooter,0.16,0.22,0,0.05,87,7.6,M
Zone of the Enders HD Collection,PS3,2012-01-01,Simulation,0.21,0.07,0.09,0.05,73,8,M
NBA 2K13,Wii,2012-01-01,Sports,0.36,0.03,0,0.03,nan,7.5,E
Spec Ops: The Line,X360,2012-01-01,Shooter,0.21,0.17,0,0.04,76,8.2,M
Call of Duty: Black Ops II,WiiU,2012-01-01,Shooter,0.2,0.18,0,0.03,81,6.9,M
Resistance: Burning Skies,PSV,2012-01-01,Shooter,0.18,0.15,0.02,0.06,60,6.8,M
Mass Effect Trilogy,X360,2012-01-01,Action,0.28,0.09,0,0.03,nan,7.4,M
Asura's Wrath,PS3,2012-01-01,Action,0.18,0.12,0.06,0.05,71,7.4,T
Ragnarok Odyssey,PSV,2012-01-01,Role-Playing,0.2,0.01,0.16,0.03,66,7.8,T
FIFA Soccer 13,PC,2012-01-01,Action,0.02,0.31,0,0.07,86,6.6,E
Moshi Monsters: Moshlings Theme Park,DS,2012-01-01,Misc,0.03,0.33,0,0.04,nan,tbd,E
LEGO The Lord of the Rings,3DS,2012-01-01,Action,0.2,0.16,0,0.03,61,7.6,E10+
Armored Core V,PS3,2012-01-01,Simulation,0.09,0.04,0.24,0.02,65,7.3,T
Project X Zone,3DS,2012-01-01,Role-Playing,0.18,0.04,0.15,0.02,70,7.3,T
Transformers: Fall of Cybertron,PS3,2012-01-01,Action,0.19,0.14,0,0.06,77,8.2,T
Metal Gear Solid HD Edition,PSV,2012-01-01,Action,0.12,0.16,0.05,0.06,nan,,
The Darkness II,X360,2012-01-01,Shooter,0.24,0.11,0,0.03,80,7.5,M
WipeOut 3 The Game,Wii,2012-01-01,Action,0.36,0,0,0.03,nan,,
Sonic & All-Stars Racing Transformed,PSV,2012-01-01,Racing,0.09,0.2,0,0.09,nan,,
Metal Gear Solid: Snake Eater 3D,3DS,2012-01-01,Action,0.15,0.11,0.1,0.02,78,7.8,M
Etrian Odyssey IV: Legends of the Titans,3DS,2012-01-01,Role-Playing,0.12,0.05,0.2,0.01,nan,,
Skylanders Giants,WiiU,2012-01-01,Action,0.22,0.12,0,0.03,80,6.9,E10+
Just Dance 4,WiiU,2012-01-01,Misc,0.21,0.13,0,0.03,66,7.8,E10+
Scribblenauts: Unlimited,WiiU,2012-01-01,Action,0.25,0.09,0,0.03,73,7.4,E10+
Batman: Arkham City,WiiU,2012-01-01,Action,0.16,0.18,0,0.03,nan,,
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012-01-01,Strategy,0,0,0.36,0,nan,,
ESPN: Sports Connection,WiiU,2012-01-01,Sports,0.2,0.12,0,0.03,31,2.7,E
Wipeout 2048,PSV,2012-01-01,Racing,0.13,0.17,0,0.05,79,8.2,E10+
Assassin's Creed III,WiiU,2012-01-01,Action,0.19,0.13,0,0.03,85,7.1,M
FIFA Soccer 13,PSP,2012-01-01,Action,0.05,0.18,0.02,0.09,nan,3.2,E
Tekken Tag Tournament 2,X360,2012-01-01,Fighting,0.19,0.11,0.01,0.03,83,7.5,T
James Bond 007: Legends,PS3,2012-01-01,Shooter,0.11,0.16,0,0.07,nan,,
LEGO Batman 2: DC Super Heroes,PSV,2012-01-01,Action,0.16,0.11,0,0.06,62,6.7,E10+
Medal of Honor: Warfighter,PC,2012-01-01,Action,0.14,0.15,0,0.04,55,5.4,M
Binary Domain,PS3,2012-01-01,Action,0.09,0.07,0.14,0.03,72,8.2,M
One Piece: Romance Dawn - Bouken no Yoake,PSP,2012-01-01,Fighting,0,0,0.32,0,nan,,
Silent Hill: Downpour,X360,2012-01-01,Action,0.22,0.08,0,0.02,68,7.3,M
Dead or Alive 5,X360,2012-01-01,Fighting,0.19,0.08,0.03,0.03,76,7.9,M
Silent Hill HD Collection,PS3,2012-01-01,Action,0.15,0.1,0.03,0.04,70,4.8,M
The Darkness II,PS3,2012-01-01,Shooter,0.14,0.13,0,0.05,79,7.6,M
F1 Race Stars,PS3,2012-01-01,Racing,0.06,0.19,0,0.06,61,5.6,E
SD Gundam G Generation: Overworld,PSP,2012-01-01,Strategy,0,0,0.31,0,nan,,
Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012-01-01,Role-Playing,0.13,0.02,0.14,0.01,nan,,
Pro Evolution Soccer 2013,X360,2012-01-01,Sports,0.08,0.2,0,0.03,82,6.9,E
Dai-2-Ji Super Robot Taisen OG,PS3,2012-01-01,Strategy,0,0,0.3,0,nan,,
Kingdoms of Amalur: Reckoning,PC,2012-01-01,Role-Playing,0.14,0.13,0,0.03,81,6.6,M
Madden NFL 13,PSV,2012-01-01,Sports,0.28,0,0,0.02,63,7.3,E
Fist of the North Star: Ken's Rage 2,PS3,2012-01-01,Fighting,0,0,0.3,0,49,7,M
Sorcery,PS3,2012-01-01,Action,0.14,0.11,0,0.05,70,7.3,E10+
Modnation Racers: Road Trip,PSV,2012-01-01,Racing,0.15,0.09,0,0.04,62,6.4,E
Just Dance Wii 2,Wii,2012-01-01,Misc,0,0,0.29,0,nan,,
Starhawk,PS3,2012-01-01,Action,0.18,0.05,0.03,0.03,77,7.8,T
FIFA Soccer 13,3DS,2012-01-01,Action,0.06,0.2,0,0.03,68,3.7,E
James Bond 007: Legends,X360,2012-01-01,Shooter,0.13,0.13,0,0.03,nan,,
Sonic & All-Stars Racing Transformed,3DS,2012-01-01,Racing,0.12,0.14,0,0.02,nan,,
Hot Shots Golf: World Invitational,PS3,2012-01-01,Sports,0,0,0.28,0,nan,7.9,E
LEGO The Lord of the Rings,PSV,2012-01-01,Action,0.09,0.13,0,0.06,54,5.6,E10+
Fable: The Journey,X360,2012-01-01,Role-Playing,0.18,0.08,0,0.02,61,4.8,T
Moshi Monsters: Moshlings Theme Park,3DS,2012-01-01,Misc,0.13,0.13,0,0.03,nan,tbd,E
Kobitodzukan: Kobito Kansatsu Set,3DS,2012-01-01,Misc,0,0,0.28,0,nan,,
Mass Effect Trilogy,PC,2012-01-01,Action,0.09,0.16,0,0.02,nan,8,M
F1 Race Stars,X360,2012-01-01,Racing,0.07,0.17,0,0.02,64,5.7,E
Sing Party,WiiU,2012-01-01,Misc,0.13,0.12,0,0.02,60,5.4,E10+
Rhythm Thief & the Emperor's Treasure,3DS,2012-01-01,Misc,0.07,0.07,0.12,0.01,nan,,
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,2012-01-01,Action,0,0,0.27,0,nan,,
Mass Effect 3,WiiU,2012-01-01,Role-Playing,0.14,0.11,0,0.02,nan,,
Pro Evolution Soccer 2013,PSP,2012-01-01,Sports,0,0.07,0.18,0.03,nan,tbd,E
Family Guy: Back to the Multiverse,PS3,2012-01-01,Action,0.12,0.1,0,0.04,40,6.4,M
Angry Birds Trilogy,X360,2012-01-01,Action,0.18,0.05,0,0.02,63,3.5,E
Atelier Ayesha: The Alchemist of Dusk,PS3,2012-01-01,Role-Playing,0.06,0.04,0.14,0.02,70,6.6,T
Tokyo Jungle,PS3,2012-01-01,Action,0,0,0.26,0,74,8.4,T
Game of Thrones,X360,2012-01-01,Role-Playing,0.15,0.08,0,0.02,52,5.2,M
Family Guy: Back to the Multiverse,X360,2012-01-01,Action,0.14,0.09,0,0.02,39,5,M
Ninja Gaiden 3,X360,2012-01-01,Action,0.16,0.05,0.03,0.02,58,4.4,M
Hitman: Absolution,PC,2012-01-01,Action,0.03,0.17,0,0.04,79,7,M
Ys: Memories of Celceta,PSV,2012-01-01,Action,0.1,0.01,0.1,0.04,82,8.8,T
Asura's Wrath,X360,2012-01-01,Action,0.15,0.06,0.01,0.02,71,6.5,T
The Testament of Sherlock Holmes,PS3,2012-01-01,Adventure,0.05,0.14,0,0.04,65,7.4,M
Game of Thrones,PS3,2012-01-01,Role-Playing,0.1,0.1,0,0.03,53,5.5,M
Birds of Steel,PS3,2012-01-01,Simulation,0.1,0.08,0.02,0.03,73,8.4,T
Hatsune Miku: Project Diva f,PSV,2012-01-01,Misc,0,0,0.23,0,81,8,T
DiRT Showdown,X360,2012-01-01,Racing,0.08,0.13,0,0.02,75,6.4,E10+
Grand Slam Tennis 2,PS3,2012-01-01,Sports,0.09,0.1,0,0.04,73,5.2,E
Ratchet & Clank: Full Frontal Assault,PS3,2012-01-01,Adventure,0.19,0.01,0,0.03,nan,,
Epic Mickey 2: The Power of Two,WiiU,2012-01-01,Action,0.13,0.07,0.01,0.02,57,5.6,E
AKB1/149: Love Election,PSP,2012-01-01,Adventure,0,0,0.23,0,nan,,
Madden NFL 13,WiiU,2012-01-01,Sports,0.21,0,0,0.02,75,6.7,E
Ninja Gaiden Sigma,PSV,2012-01-01,Action,0.1,0.05,0.04,0.03,nan,,
